epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.445,2.40389,0.5084,0.87815,1.99536,0.000204861,0.000204861,0.000204861
2,19.3116,1.59915,0.77311,0.98739,0.85968,0.000405013,0.000405013,0.000405013
3,24.7391,0.84701,0.82773,0.98739,0.5166,0.000596915,0.000596915,0.000596915
4,29.9418,0.58728,0.87815,0.9958,0.43361,0.000587875,0.000587875,0.000587875
5,35.1522,0.40118,0.86134,1,0.42151,0.0005755,0.0005755,0.0005755
6,40.4443,0.3908,0.84874,1,0.42944,0.000563125,0.000563125,0.000563125
7,45.6299,0.31401,0.84034,1,0.35718,0.00055075,0.00055075,0.00055075
8,50.9805,0.3005,0.87815,1,0.36206,0.000538375,0.000538375,0.000538375
9,56.2548,0.2947,0.88655,1,0.30859,0.000526,0.000526,0.000526
10,61.4771,0.23285,0.83613,1,0.39201,0.000513625,0.000513625,0.000513625
11,66.6893,0.26372,0.88655,1,0.32562,0.00050125,0.00050125,0.00050125
12,71.8866,0.2444,0.87815,1,0.33435,0.000488875,0.000488875,0.000488875
13,77.1034,0.1856,0.86975,1,0.33463,0.0004765,0.0004765,0.0004765
14,82.2438,0.17778,0.89076,1,0.30933,0.000464125,0.000464125,0.000464125
15,87.595,0.15452,0.89076,1,0.31216,0.00045175,0.00045175,0.00045175
16,92.8302,0.15819,0.85714,1,0.38812,0.000439375,0.000439375,0.000439375
17,98.0204,0.14913,0.90336,1,0.25644,0.000427,0.000427,0.000427
18,103.303,0.1418,0.89496,1,0.29373,0.000414625,0.000414625,0.000414625
19,108.449,0.13544,0.89496,1,0.28341,0.00040225,0.00040225,0.00040225
20,113.774,0.1276,0.91176,1,0.29404,0.000389875,0.000389875,0.000389875
21,119.054,0.13153,0.92857,1,0.23387,0.0003775,0.0003775,0.0003775
22,124.261,0.13092,0.89076,1,0.24577,0.000365125,0.000365125,0.000365125
23,129.435,0.10479,0.89076,1,0.26752,0.00035275,0.00035275,0.00035275
24,134.671,0.1199,0.90756,1,0.25319,0.000340375,0.000340375,0.000340375
25,139.945,0.11291,0.90336,1,0.30226,0.000328,0.000328,0.000328
26,145.35,0.10518,0.89916,1,0.29882,0.000315625,0.000315625,0.000315625
27,150.55,0.09704,0.89916,1,0.34413,0.00030325,0.00030325,0.00030325
28,155.758,0.11773,0.89916,1,0.26955,0.000290875,0.000290875,0.000290875
29,160.948,0.10367,0.89076,1,0.30482,0.0002785,0.0002785,0.0002785
30,166.167,0.07664,0.88235,1,0.35111,0.000266125,0.000266125,0.000266125
31,171.38,0.09284,0.90336,1,0.26869,0.00025375,0.00025375,0.00025375
32,176.571,0.11297,0.90336,1,0.31956,0.000241375,0.000241375,0.000241375
33,181.791,0.09206,0.88655,1,0.30231,0.000229,0.000229,0.000229
34,186.978,0.09967,0.87815,1,0.29738,0.000216625,0.000216625,0.000216625
35,192.245,0.09863,0.89496,1,0.33359,0.00020425,0.00020425,0.00020425
36,197.437,0.11282,0.90336,1,0.28758,0.000191875,0.000191875,0.000191875
37,202.626,0.08522,0.90336,1,0.28982,0.0001795,0.0001795,0.0001795
38,207.775,0.09661,0.88655,1,0.3033,0.000167125,0.000167125,0.000167125
39,212.945,0.07866,0.89916,1,0.32339,0.00015475,0.00015475,0.00015475
40,218.131,0.0654,0.89496,1,0.2999,0.000142375,0.000142375,0.000142375
41,224.425,0.07671,0.90336,1,0.28473,0.00013,0.00013,0.00013
42,229.829,0.08967,0.89916,1,0.3175,0.000117625,0.000117625,0.000117625
43,235.05,0.07279,0.90336,1,0.28788,0.00010525,0.00010525,0.00010525
44,240.273,0.08195,0.89496,1,0.26431,9.2875e-05,9.2875e-05,9.2875e-05
45,245.651,0.06328,0.89916,1,0.28008,8.05e-05,8.05e-05,8.05e-05
46,250.954,0.07383,0.89916,1,0.29297,6.8125e-05,6.8125e-05,6.8125e-05
47,256.259,0.06041,0.90756,1,0.29809,5.575e-05,5.575e-05,5.575e-05
48,261.588,0.06342,0.91176,1,0.29291,4.3375e-05,4.3375e-05,4.3375e-05
49,266.816,0.07776,0.89916,1,0.274,3.1e-05,3.1e-05,3.1e-05
50,272.004,0.05687,0.90756,1,0.282,1.8625e-05,1.8625e-05,1.8625e-05
