epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2526,0.69161,4.29017,1.28353,0.0135,0.74472,0.02826,0.02067,0.94535,3.50953,1.39387,6.87356e-05,6.87356e-05,6.87356e-05
2,185.685,0.66586,3.75989,1.25035,0.78235,0.02083,0.05351,0.04222,0.84333,2.73271,1.2729,0.0001244,0.0001244,0.0001244
3,271.398,0.66854,3.42427,1.24334,0.09756,0.17581,0.07009,0.05409,0.88608,1.84354,1.30551,0.000166337,0.000166337,0.000166337
4,356.392,0.6695,3.16298,1.23532,0.22671,0.12965,0.09554,0.07955,0.80424,1.79304,1.23701,0.000146224,0.000146224,0.000146224
5,441.578,0.63572,2.95676,1.2037,0.25572,0.24926,0.15302,0.12568,0.80339,1.79527,1.22731,0.000125632,0.000125632,0.000125632
6,526.674,0.59973,2.78735,1.17636,0.22014,0.24021,0.15402,0.12725,0.75539,1.54625,1.17627,0.00010504,0.00010504,0.00010504
7,611.6,0.58777,2.65931,1.16129,0.19007,0.32006,0.18374,0.15599,0.72063,1.67503,1.14162,8.4448e-05,8.4448e-05,8.4448e-05
8,696.886,0.56143,2.568,1.14275,0.2313,0.28302,0.1889,0.16091,0.67261,1.38328,1.12728,6.3856e-05,6.3856e-05,6.3856e-05
9,782.41,0.53608,2.48335,1.12098,0.20344,0.37651,0.19919,0.17229,0.64866,1.38924,1.10037,4.3264e-05,4.3264e-05,4.3264e-05
10,867.54,0.53093,2.41918,1.11568,0.21497,0.31384,0.2207,0.18805,0.63087,1.43783,1.08459,2.2672e-05,2.2672e-05,2.2672e-05
