epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6025,0.57754,0.43785,1.00912,0.98319,0.98295,0.98777,0.89542,0.48993,0.31748,0.91862,0.000655556,0.000655556,0.000655556
2,102.619,0.64839,0.48824,1.05343,0.99348,0.96639,0.99366,0.87246,0.53279,0.34937,0.9453,0.00130913,0.00130913,0.00130913
3,145.779,0.66319,0.49826,1.04798,0.98364,0.96218,0.97749,0.87767,0.51179,0.35529,0.9511,0.00194951,0.00194951,0.00194951
4,187.913,0.67835,0.52035,1.0497,0.97438,0.93697,0.97867,0.8426,0.57505,0.41957,0.98593,0.0019406,0.0019406,0.0019406
5,230.524,0.64876,0.50409,1.0514,0.98019,0.96218,0.98398,0.85523,0.54902,0.39855,0.95995,0.0019208,0.0019208,0.0019208
6,273.502,0.64687,0.49726,1.04502,0.98714,0.96782,0.98228,0.84426,0.60936,0.41882,1.02561,0.001901,0.001901,0.001901
7,315.319,0.64926,0.48508,1.05534,0.99436,0.96218,0.98179,0.8344,0.57269,0.38168,0.99645,0.0018812,0.0018812,0.0018812
8,357.43,0.65058,0.48661,1.04383,0.9602,0.92857,0.97899,0.82969,0.59805,0.48303,1.00137,0.0018614,0.0018614,0.0018614
9,404.196,0.65785,0.48835,1.04708,0.97047,0.96649,0.98958,0.85323,0.56008,0.40311,0.97784,0.0018416,0.0018416,0.0018416
10,445.758,0.63606,0.45902,1.03613,0.99572,0.97808,0.99294,0.88722,0.51167,0.33357,0.92483,0.0018218,0.0018218,0.0018218
11,487.148,0.63568,0.46116,1.02046,0.9913,0.95704,0.9882,0.8487,0.58292,0.36941,1.00028,0.001802,0.001802,0.001802
12,529.791,0.62151,0.47272,1.03023,0.96652,0.97023,0.98486,0.86554,0.52854,0.36846,0.97548,0.0017822,0.0017822,0.0017822
13,574.567,0.6212,0.45934,1.02494,0.96278,0.97825,0.99116,0.8584,0.55817,0.34933,0.98335,0.0017624,0.0017624,0.0017624
14,618.575,0.60476,0.44614,1.02346,0.99116,0.97479,0.98502,0.89526,0.47552,0.33101,0.92417,0.0017426,0.0017426,0.0017426
15,662.974,0.5807,0.42724,1.00433,0.99572,0.97696,0.99085,0.89264,0.49599,0.31286,0.94174,0.0017228,0.0017228,0.0017228
16,712.325,0.59718,0.44959,1.01729,0.99144,0.9737,0.99402,0.89495,0.462,0.3106,0.92343,0.001703,0.001703,0.001703
